id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,xiling_wujia,xiaohongshu,2025-01-10T08:21:28+08:00,2025-01-10T08:21:28+08:00,没什么特别,"没什么,特别",5,urban_operation,facility,中性,3,neutral,0.41,low,0.97,True,宜昌,relevant,科教文化服务,7,1,小学,,T1,红星路小学,ermalu,111.28347046742071,30.693334284005463,527158.94,3397009.56,红星路小学,科教文化服务
e0002,xiling_wujia,weibo,2025-01-10T19:52:41+08:00,2025-01-10T19:52:41+08:00,路灯坏了几天没人修，晚上黑得可怕,"没人修,黑得,路灯,可怕,晚上",16,urban_renewal,facility,愤怒,5,negative,0.74,high,0.98,True,宜昌,relevant,政府机构及社会团体,3,13,地市级政府及事业单位,,T1,宜昌市人民政府,ermalu,111.28161942480102,30.69464938545336,526981.23,3397154.91,宜昌市人民政府,政府机构及社会团体
e0003,xiling_wujia,dianping,2025-01-22T04:09:25+08:00,2025-01-22T04:09:25+08:00,井盖松动没人处理，差点绊倒,"井盖,绊倒,松动,差点,处理,春运",13,urban_governance,facility,失望,5,negative,0.97,medium,0.88,True,宜昌,relevant,交通设施服务,0,1,公共停车场,,T1,宜昌城市地面停车场,ermalu,111.27810832808952,30.696112228415515,526644.43,3397316.25,宜昌城市地面停车场,交通设施服务
e0004,xiling_wujia,12345,2025-01-21T12:19:22+08:00,2025-01-21T12:19:22+08:00,便利店 24 小时营业，方便,"24,便利店,营业,方便,小时",14,urban_governance,service,喜爱,4,positive,0.98,medium,0.86,True,宜昌,relevant,交通设施服务,3,14,公交车站相关,,T1,一马路(公交站),ermalu,111.28379327189052,30.69247947667569,527190.11,3396914.87,一马路(公交站),交通设施服务
e0005,xiling_wujia,xiaohongshu,2025-01-19T21:08:57+08:00,2025-01-19T21:08:57+08:00,这条路坑坑洼洼半年没人修,"没人修,坑坑洼洼,半年,这条",16,urban_operation,facility,失望,4,negative,0.97,high,0.94,True,宜昌,relevant,餐饮服务,2,2,中餐厅,,T1,阿杜菜馆@埋点,ermalu,111.28257964186018,30.697030033777686,527072.56,3397419.07,阿杜菜馆,餐饮服务
e0006,xiling_wujia,meituan,2025-01-21T04:00:10+08:00,2025-01-21T04:00:10+08:00,路灯坏了几天没人修，晚上黑得可怕,"没人修,黑得,路灯,可怕,晚上,年货",16,urban_operation,facility,失望,5,negative,0.83,high,0.95,True,宜昌,relevant,交通设施服务,1,8,公交车站相关,,T1,一马路(公交站),ermalu,111.28356951360584,30.691652451859678,527168.9,3396823.13,一马路(公交站),交通设施服务
e0007,xiling_wujia,meituan,2025-01-18T22:07:32+08:00,2025-01-18T22:07:32+08:00,这家店服务态度差，不会再来了,"服务态度,再来,这家,不会",14,urban_governance,service,失望,4,negative,0.71,medium,0.9,True,宜昌,relevant,商务住宅,3,1,住宅小区,,T1,紫晶城天御,ermalu,111.27588388422298,30.697283195730446,526431.0,3397445.54,紫晶城天御,商务住宅
e0008,xiling_wujia,xiaohongshu,2025-01-06T17:18:11+08:00,2025-01-06T17:18:11+08:00,餐厅上菜慢，菜都凉了,"上菜,餐厅",10,urban_renewal,service,失望,5,negative,0.87,medium,0.84,True,宜昌,relevant,体育休闲服务,2,0,整形美容,,T1,亚太美容医院,ermalu,111.2795829161842,30.696395686463454,526785.63,3397348.03,亚太美容医院,体育休闲服务
e0009,xiling_wujia,xiaohongshu,2025-01-20T03:30:41+08:00,2025-01-20T03:30:41+08:00,学校新换了课桌椅，孩子们开心,"课桌椅,新换,开心,学校,孩子",14,urban_renewal,service,期待,4,positive,0.89,low,0.88,True,宜昌,relevant,购物服务,1,0,步行街,,T1,恒大步行街,ermalu,111.27842376611241,30.69916302444565,526673.82,3397654.55,恒大步行街,购物服务
e0010,xiling_wujia,xiaohongshu,2025-01-12T12:36:07+08:00,2025-01-12T12:36:07+08:00,餐厅上菜慢，菜都凉了,"上菜,餐厅",10,urban_governance,service,失望,4,negative,0.65,high,0.95,True,宜昌,relevant,休闲娱乐,3,0,网吧,,T1,奥汀电竞,ermalu,111.28166650543791,30.695692756379803,526985.45,3397270.6,奥汀电竞,休闲娱乐
e0011,xiling_wujia,weibo,2025-01-13T07:03:46+08:00,2025-01-13T07:03:46+08:00,长江沿线景观带做得漂亮，喜欢,"景观带,沿线,漂亮,长江,喜欢",14,urban_operation,environment,喜爱,4,positive,0.73,low,0.79,True,宜昌,relevant,科教文化服务,7,3,小学,,T1,红星路小学,ermalu,111.28337336304493,30.692996155955072,527149.73,3396972.05,红星路小学,科教文化服务
e0012,xiling_wujia,xiaohongshu,2025-01-07T23:44:53+08:00,2025-01-07T23:44:53+08:00,新修的滨江绿道走起来很舒服，规划得不错,"新修,绿道,滨江,舒服,不错",19,urban_renewal,facility,喜爱,5,positive,0.78,high,0.8,True,宜昌,relevant,休闲娱乐,0,3,酒吧,,T1,神话酒吧(大南门店),ermalu,111.27577408784222,30.698294559149602,526420.21,3397557.64,神话酒吧(大南门店),休闲娱乐
e0013,xiling_wujia,12345,2025-01-06T02:49:56+08:00,2025-01-06T02:49:56+08:00,街区活动吸引很多人，有活力,"街区,活力,吸引,很多,活动",13,urban_operation,event,期待,5,positive,0.82,medium,0.87,True,宜昌,relevant,科教文化服务,1,3,中学,,T1,宜昌市五中,ermalu,111.28420013116754,30.694111776914234,527228.63,3397095.93,宜昌市五中,科教文化服务
e0014,xiling_wujia,meituan,2025-01-21T16:22:40+08:00,2025-01-21T16:22:40+08:00,一般水平,"水平,一般,年夜饭",4,urban_renewal,event,中性,3,neutral,0.4,medium,0.93,True,宜昌,relevant,风景名胜,0,1,热点地名,,T1,南湖公园,ermalu,111.28548773559169,30.695002210092365,527351.74,3397194.96,南湖公园,风景名胜
