id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,xiling_wujia,weibo,2026-04-20T14:18:58+08:00,2026-04-20T14:18:58+08:00,新修的滨江绿道走起来很舒服，规划得不错,"新修,绿道,滨江,舒服,不错",19,urban_operation,facility,期待,5,positive,0.8,medium,0.85,True,宜昌,relevant,科教文化服务,14,4,文化宫,,T3,宜昌市工人文化宫,ermalu,111.28694711076486,30.69560108108855,527491.39,3397261.71,宜昌市工人文化宫,科教文化服务
e0002,xiling_wujia,dianping,2026-04-18T08:50:22+08:00,2026-04-18T08:50:22+08:00,学校新换了课桌椅，孩子们开心,"课桌椅,新换,开心,学校,孩子,夜经济",14,urban_operation,service,期待,4,positive,0.66,high,0.81,True,宜昌,relevant,体育休闲服务,11,9,口腔医院,,T3,宜昌牙管家口腔(隆康路总院),ermalu,111.28757161112125,30.694920362786966,527551.42,3397186.4,宜昌牙管家口腔(隆康路总院),体育休闲服务
e0003,xiling_wujia,dianping,2026-04-21T17:35:27+08:00,2026-04-21T17:35:27+08:00,老字号保护得好，有传承,"老字号,传承,保护",11,urban_governance,culture,满足,4,positive,0.87,low,0.9,True,宜昌,relevant,政府机构及社会团体,5,6,地市级政府及事业单位,,T3,宜昌市人民政府,ermalu,111.28152215662332,30.694879531229592,526971.84,3397180.4,宜昌市人民政府,政府机构及社会团体
e0004,xiling_wujia,dianping,2026-04-29T22:46:01+08:00,2026-04-29T22:46:01+08:00,街区夜景漂亮，适合打卡,"打卡,夜景,街区,漂亮,适合,夜经济",13,urban_planning,culture,期待,4,positive,0.84,high,0.94,True,宜昌,relevant,餐饮服务,10,2,中餐厅,,T3,瑜儿腊货馆@埋点,ermalu,111.28477822068785,30.695096428387068,527283.74,3397205.24,瑜儿腊货馆,餐饮服务
e0005,xiling_wujia,meituan,2026-04-12T05:44:52+08:00,2026-04-12T05:44:52+08:00,演出取消也没提前通知，坑,"演出,取消,提前,通知",12,urban_governance,event,愤怒,5,negative,0.63,medium,0.79,True,宜昌,relevant,休闲娱乐,4,0,迪厅,,T3,夜上海舞厅,ermalu,111.2792335559358,30.697157880675896,526751.95,3397432.45,夜上海舞厅,休闲娱乐
e0006,xiling_wujia,meituan,2026-04-28T20:14:19+08:00,2026-04-28T20:14:19+08:00,店员热情周到，购物体验好,"热情周到,店员,购物,体验",11,urban_operation,service,喜爱,5,positive,0.61,low,0.8,True,宜昌,relevant,餐饮服务,12,10,特色/地方风味餐厅,,T3,花果牛魔王高品质烤牛肉@埋点,ermalu,111.28080667800367,30.696845113220125,526902.75,3397398.15,花果牛魔王高品质烤牛肉,餐饮服务
e0007,xiling_wujia,meituan,2026-04-28T19:07:51+08:00,2026-04-28T19:07:51+08:00,这家老字号味道正宗，强烈推荐,"老字号,强烈推荐,正宗,味道,这家",4,urban_operation,service,喜爱,3,positive,0.48,high,0.93,True,宜昌,relevant,餐饮服务,11,0,中餐厅,,T3,瑜儿腊货馆@埋点,ermalu,111.28354328570812,30.695496740863828,527165.31,3397249.32,瑜儿腊货馆,餐饮服务
e0008,xiling_wujia,dianping,2026-04-28T00:57:09+08:00,2026-04-28T00:57:09+08:00,夜间道路标识反光清晰，开车省心,"省心,反光,标识,开车,夜间",15,urban_operation,facility,满足,5,positive,0.93,low,0.91,True,宜昌,relevant,住宿服务,8,5,宾馆酒店,,T3,宜昌丽锦快捷假日酒店,ermalu,111.2812703128882,30.69753902505325,526946.98,3397475.19,宜昌丽锦快捷假日酒店,住宿服务
e0009,xiling_wujia,meituan,2026-04-11T10:54:46+08:00,2026-04-11T10:54:46+08:00,便利店 24 小时营业，方便,"24,便利店,营业,方便,小时",14,urban_governance,service,满足,4,positive,0.61,high,0.85,True,宜昌,relevant,购物服务,13,0,步行街,,T3,宜昌解放路步行街,ermalu,111.27926815515046,30.701632540012124,526754.03,3397928.54,宜昌解放路步行街,购物服务
e0010,xiling_wujia,dianping,2026-04-27T00:04:00+08:00,2026-04-27T00:04:00+08:00,公交站牌更新了，线路清楚多了,"公交站,线路,更新,清楚",14,urban_renewal,facility,喜爱,4,positive,0.71,low,0.81,True,宜昌,relevant,餐饮服务,1,0,特色/地方风味餐厅,,T3,二马路历史文化街区@埋点,ermalu,111.28069844265258,30.696056721096777,526892.6,3397310.72,花果牛魔王高品质烤牛肉,餐饮服务
