id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e0001,xiling_wujia,dianping,2025-09-19T21:30:43+08:00,2025-09-19T21:30:43+08:00,磨基山公园绿化做得漂亮,"磨基山,绿化,公园,漂亮",11,urban_renewal,environment,喜爱,1.0,positive,1.0,high,0.85,True,宜昌,relevant,科教文化服务,8,0,文化宫,,T2,宜昌市工人文化宫,ermalu,111.2871,30.6957,527510.5,3.3972725e+06,宜昌市工人文化宫,科教文化服务,0.97,Very Positive,0.11,喜悦满意,喜悦满意,,
e0002,xiling_wujia,xiaohongshu,2025-09-27T00:11:17+08:00,2025-09-27T00:11:17+08:00,没什么亮点,"亮点,没什么",5,urban_renewal,facility,好奇,0.284,neutral,0.284,high,0.94,True,宜昌,relevant,政府机构及社会团体,0,2,地市级政府及事业单位,,T2,宜昌市人民政府,ermalu,111.2809,30.6941,526915.8,3.3970985e+06,宜昌市人民政府,政府机构及社会团体,0.44,Neutral,0.05,其他,其他,,
e0003,xiling_wujia,xiaohongshu,2025-09-15T07:03:47+08:00,2025-09-15T07:03:47+08:00,停车场收费贵还找不到位，真坑,"真坑,停车场,收费,到位",14,urban_operation,facility,愤怒,1.0,negative,1.0,low,0.98,True,宜昌,relevant,风景名胜,1,0,公园,,T2,滨江公园,ermalu,111.2813,30.6929,526949.2,3.3969652e+06,滨江公园,风景名胜,0.02,Very Negative,0.14,不满抱怨,不满抱怨,,
e0004,xiling_wujia,weibo,2025-09-25T16:59:37+08:00,2025-09-25T16:59:37+08:00,活动结束垃圾满地没人扫，太乱,"太乱,满地,垃圾,没人,结束",14,urban_operation,event,失望,1.0,negative,1.0,low,0.86,True,宜昌,relevant,休闲娱乐,1,7,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,111.2813,30.6934,526952.2,3.3970125e+06,Nine.籁Whisky&cocktail bar,休闲娱乐,0.1,Very Negative,0.14,不满抱怨,不满抱怨,,
e0005,xiling_wujia,dianping,2025-09-19T15:16:51+08:00,2025-09-19T15:16:51+08:00,物业服务到位，响应及时,"服务到位,响应,物业,及时",11,urban_operation,service,喜爱,0.56,positive,0.56,low,0.87,True,宜昌,relevant,体育休闲服务,3,0,诊所,,T2,刘勇中医诊所,ermalu,111.2791,30.6959,526736.1,3.397291e+06,刘勇中医诊所,体育休闲服务,0.68,Positive,0.11,不满抱怨,不满抱怨,,
e0006,xiling_wujia,xiaohongshu,2025-09-21T04:54:25+08:00,2025-09-21T04:54:25+08:00,这家店服务态度差，不会再来了,"服务态度,再来,这家,不会",14,urban_planning,service,失望,1.0,negative,1.0,high,0.9,True,宜昌,relevant,购物服务,0,0,步行街,,T2,宜昌解放路步行街,ermalu,111.2811,30.7002,526926.44,3.3977658e+06,宜昌解放路步行街,购物服务,0.01,Very Negative,0.14,不满抱怨,不满抱怨,,
e0007,xiling_wujia,xiaohongshu,2025-09-21T08:37:22+08:00,2025-09-21T08:37:22+08:00,普通,普通,10,urban_operation,culture,好奇,0.242,neutral,0.242,medium,0.95,True,宜昌,relevant,餐饮服务,7,8,中餐厅,,T2,瑜儿腊货馆@埋点,ermalu,111.284,30.6947,527213.56,3.3971645e+06,瑜儿腊货馆,餐饮服务,0.53,Neutral,0.02,其他,其他,,
e0008,xiling_wujia,dianping,2025-09-28T13:07:52+08:00,2025-09-28T13:07:52+08:00,普通,普通,2,urban_operation,facility,好奇,0.242,neutral,0.242,medium,0.81,True,宜昌,relevant,住宿服务,2,1,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2813,30.6986,526948.5,3.3975922e+06,宜昌丽锦快捷假日酒店,住宿服务,0.53,Neutral,0.02,其他,其他,,
e0009,xiling_wujia,xiaohongshu,2025-10-01T18:31:14+08:00,2025-10-01T18:31:14+08:00,这条路坑坑洼洼半年没人修,"没人修,坑坑洼洼,半年,这条",12,urban_operation,facility,失望,0.56,negative,0.56,high,0.85,True,宜昌,relevant,购物服务,1,2,步行街,,T2,恒大步行街,ermalu,111.2781,30.6988,526639.7,3.3976178e+06,恒大步行街,购物服务,0.32,Negative,0.12,其他,其他,,
e0010,xiling_wujia,meituan,2025-09-27T20:45:45+08:00,2025-09-27T20:45:45+08:00,普通水平,"普通,水平",11,urban_renewal,service,好奇,0.298,neutral,0.298,medium,0.93,True,宜昌,relevant,休闲娱乐,4,4,网吧,,T2,二马路历史文化街区@埋点,ermalu,111.2811,30.6955,526928.06,3.397248e+06,奥汀电竞,休闲娱乐,0.43,Neutral,0.04,其他,其他,,
e0011,xiling_wujia,weibo,2025-09-26T16:33:07+08:00,2025-09-26T16:33:07+08:00,感觉一般,"感觉,一般",4,urban_renewal,service,中性,0.27,neutral,0.27,high,0.99,True,宜昌,relevant,体育休闲服务,15,1,整形美容,,T2,花果牛魔王高品质烤牛肉@埋点,ermalu,111.2797,30.6965,526799.3,3.3973628e+06,亚太美容医院,体育休闲服务,0.55,Neutral,0.04,其他,其他,,
e0012,xiling_wujia,meituan,2025-09-29T10:42:51+08:00,2025-09-29T10:42:51+08:00,普普通通,普普通通,6,urban_governance,facility,中性,0.2,neutral,0.2,low,0.91,True,宜昌,relevant,购物服务,14,5,特色商业街,,T2,二马路历史文化街区@埋点,ermalu,111.2805,30.6958,526871.44,3.3972862e+06,二马路历史文化街区,购物服务,0.5,Neutral,0.04,其他,其他,,
e0013,xiling_wujia,xiaohongshu,2025-09-16T14:15:25+08:00,2025-09-16T14:15:25+08:00,夜间道路标识反光清晰，开车省心,"省心,反光,标识,开车,夜间",15,urban_operation,facility,喜爱,1.0,positive,1.0,low,0.91,True,宜昌,relevant,公司企业,0,5,公司,,T2,国家电网湖北省电力公司宜昌供电公司,ermalu,111.2837,30.6928,527178.5,3.3969548e+06,国家电网湖北省电力公司宜昌供电公司,公司企业,0.95,Very Positive,0.15,喜悦满意,喜悦满意,,
