id_e,scope,source,text,keywords,domain,element,score,polarity,polarity_hint,emotion_intensity,l1_confidence,l2_confidence,emotion_type,category,timestamp,time_label,urban_value,target_type,target_detail,area_tag,zone,has_location,relevance,aspect_primary,aspect_polarity,aspects_json,semantic_target,policy_seed,project_seed,matrix_multi,attribution_confidence,blind_spot,lon,lat
ermawu_T1_00000,ermawu,sim_ermawu_l3l4,保留原貌真有味道，修新如旧做得好,修旧如旧,urban_renewal,文化,0.449,Neutral,neu,0.702,0.888,0.844,盼,历史街区,2025-02-01,2025-02 春节·二马路一期开街爆满,0.703,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,neu,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.802,0,111.287258,30.694974
ermawu_T1_00001,ermawu,sim_ermawu_l3l4,盼着开街呢，老街改造进度有点慢,文旅活力,urban_operation,事件,0.422,Neutral,neu,0.574,0.809,0.73,盼,历史街区,2025-02-03,2025-02 春节·二马路一期开街爆满,0.548,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.948,1,111.278064,30.701066
ermawu_T1_00002,ermawu,sim_ermawu_l3l4,烟火气这东西见仁见智,烟火气保留,urban_renewal,文化,0.511,Neutral,neu,0.639,0.752,0.732,急,历史街区,2025-02-08,2025-02 春节·二马路一期开街爆满,0.422,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neu,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.92,0,111.281914,30.697302
ermawu_T1_00003,ermawu,sim_ermawu_l3l4,施工快收尾了，忍忍,施工扰民,urban_governance,环境,0.482,Neutral,neu,0.505,0.88,0.728,盼,历史街区,2025-02-06,2025-02 春节·二马路一期开街爆满,0.727,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neu,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.87,0,111.279991,30.694969
ermawu_T1_00004,ermawu,sim_ermawu_l3l4,回迁政策还在等落实,回迁安置,urban_renewal,服务,0.494,Neutral,neu,0.702,0.782,0.795,盼,历史街区,2025-02-07,2025-02 春节·二马路一期开街爆满,0.642,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neu,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.773,0,111.288455,30.693534
ermawu_T1_00005,ermawu,sim_ermawu_l3l4,施工绕行太麻烦,施工扰民,urban_governance,环境,0.111,Very Negative,neg,0.647,0.748,0.826,哀,历史街区,2025-02-09,2025-02 春节·二马路一期开街爆满,0.543,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.854,0,111.285077,30.695869
ermawu_T1_00006,ermawu,sim_ermawu_l3l4,盼着开街呢，老街改造进度有点慢,文旅活力,urban_operation,事件,0.571,Neutral,neu,0.713,0.922,0.865,急,历史街区,2025-02-04,2025-02 春节·二马路一期开街爆满,0.85,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.759,1,111.277969,30.692663
ermawu_T1_00007,ermawu,sim_ermawu_l3l4,业态单一，逛一次就够,业态丰富度,urban_operation,服务,0.094,Very Negative,neg,0.577,0.721,0.807,哀,历史街区,2025-02-05,2025-02 春节·二马路一期开街爆满,0.581,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neg,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.9,0,111.280485,30.697813
ermawu_T1_00008,ermawu,sim_ermawu_l3l4,回迁政策还在等落实,回迁安置,urban_renewal,服务,0.449,Neutral,neu,0.795,0.885,0.754,盼,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.839,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neu,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.798,0,111.2788,30.698897
ermawu_T1_00009,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.869,Very Positive,pos,0.443,0.802,0.741,乐,历史街区,2025-02-04,2025-02 春节·二马路一期开街爆满,0.595,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,pos,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.924,0,111.281086,30.693326
