社区,排序,安全-市政管网,安全-安全消防,安全-住房,安全-交通,民生-公服设施,民生-住房,民生-环境治理,民生-停车设施,民生-交通设施,民生-城市更新,民生-物业街面,安全-市政管网%,安全-安全消防%,安全-住房%,安全-交通%,民生-公服设施%,民生-住房%,民生-环境治理%,民生-停车设施%,民生-交通设施%,民生-城市更新%,民生-物业街面%,总点数,总占比%
深圳路社区,1,18,30,30,0,8,18,0,6,2,0,1,0.68,1.14,1.14,0.0,0.3,0.68,0.0,0.23,0.08,0.0,0.04,113,4.28
西峡社区,2,15,25,42,0,6,2,0,5,0,0,2,0.57,0.95,1.59,0.0,0.23,0.08,0.0,0.19,0.0,0.0,0.08,97,3.67
镇境山社区,3,21,16,30,0,6,3,0,8,1,0,1,0.79,0.61,1.14,0.0,0.23,0.11,0.0,0.3,0.04,0.0,0.04,86,3.26
金安岭社区,3,19,14,40,0,5,0,0,5,3,0,0,0.72,0.53,1.51,0.0,0.19,0.0,0.0,0.19,0.11,0.0,0.0,86,3.26
幸福路社区,5,5,13,30,0,7,0,0,11,3,0,3,0.19,0.49,1.14,0.0,0.26,0.0,0.0,0.42,0.11,0.0,0.11,72,2.73
新隆康路社区,6,8,11,28,0,6,3,0,3,4,0,5,0.3,0.42,1.06,0.0,0.23,0.11,0.0,0.11,0.15,0.0,0.19,68,2.57
果园路社区,7,9,1,15,0,8,0,0,10,0,0,16,0.34,0.04,0.57,0.0,0.3,0.0,0.0,0.38,0.0,0.0,0.61,59,2.23
二马路社区,8,3,1,21,0,21,0,0,3,0,0,8,0.11,0.04,0.79,0.0,0.79,0.0,0.0,0.11,0.0,0.0,0.3,57,2.16
桥北社区,9,4,6,7,0,11,10,0,6,0,0,3,0.15,0.23,0.26,0.0,0.42,0.38,0.0,0.23,0.0,0.0,0.11,47,1.78
营盘路社区,11,0,0,0,0,13,0,0,23,0,0,10,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.87,0.0,0.0,0.38,46,1.74
丫口社区,11,13,7,7,0,12,2,0,1,0,0,4,0.49,0.26,0.26,0.0,0.45,0.08,0.0,0.04,0.0,0.0,0.15,46,1.74
香锦社区,11,3,0,10,0,13,0,0,14,2,0,4,0.11,0.0,0.38,0.0,0.49,0.0,0.0,0.53,0.08,0.0,0.15,46,1.74
宝联社区,13,0,0,3,0,11,0,0,0,0,0,25,0.0,0.0,0.11,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.95,39,1.48
东门外正街社区,13,0,22,0,0,5,0,0,10,0,0,2,0.0,0.83,0.0,0.0,0.19,0.0,0.0,0.38,0.0,0.0,0.08,39,1.48
绿萝路社区,15,2,13,6,0,7,0,0,8,0,0,1,0.08,0.49,0.23,0.0,0.26,0.0,0.0,0.3,0.0,0.0,0.04,37,1.4
铁路坝社区,15,0,2,2,0,13,0,0,16,1,0,3,0.0,0.08,0.08,0.0,0.49,0.0,0.0,0.61,0.04,0.0,0.11,37,1.4
镇平路社区,17,2,3,9,0,10,6,0,5,0,0,1,0.08,0.11,0.34,0.0,0.38,0.23,0.0,0.19,0.0,0.0,0.04,36,1.36
沙河社区,17,0,0,0,0,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,36,1.36
桃花岭社区,19,0,1,14,0,5,0,0,8,0,0,7,0.0,0.04,0.53,0.0,0.19,0.0,0.0,0.3,0.0,0.0,0.26,35,1.32
桔城路社区,20,6,12,2,0,8,0,0,0,2,0,4,0.23,0.45,0.08,0.0,0.3,0.0,0.0,0.0,0.08,0.0,0.15,34,1.29
环城东路社区,20,2,0,19,0,6,0,0,3,0,0,4,0.08,0.0,0.72,0.0,0.23,0.0,0.0,0.11,0.0,0.0,0.15,34,1.29
常家湾社区,23,2,0,12,0,6,1,0,10,0,0,2,0.08,0.0,0.45,0.0,0.23,0.04,0.0,0.38,0.0,0.0,0.08,33,1.25
东湖社区,23,0,6,11,0,9,7,0,0,0,0,0,0.0,0.23,0.42,0.0,0.34,0.26,0.0,0.0,0.0,0.0,0.0,33,1.25
杨岔路社区,23,1,0,2,0,12,1,0,5,0,0,12,0.04,0.0,0.08,0.0,0.45,0.04,0.0,0.19,0.0,0.0,0.45,33,1.25
王家河社区,25,0,14,3,0,8,0,0,2,0,0,4,0.0,0.53,0.11,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.15,31,1.17
刘家大堰社区,25,14,0,6,0,7,0,0,4,0,0,0,0.53,0.0,0.23,0.0,0.26,0.0,0.0,0.15,0.0,0.0,0.0,31,1.17
体育场路社区,27,0,3,1,0,12,0,0,11,0,0,2,0.0,0.11,0.04,0.0,0.45,0.0,0.0,0.42,0.0,0.0,0.08,29,1.1
赵家湾社区,28,2,1,10,0,3,0,0,7,0,0,5,0.08,0.04,0.38,0.0,0.11,0.0,0.0,0.26,0.0,0.0,0.19,28,1.06
清波路社区,29,1,4,10,0,10,0,0,1,0,0,1,0.04,0.15,0.38,0.0,0.38,0.0,0.0,0.04,0.0,0.0,0.04,27,1.02
合益路社区,29,0,0,18,0,8,0,0,1,0,0,0,0.0,0.0,0.68,0.0,0.3,0.0,0.0,0.04,0.0,0.0,0.0,27,1.02
樵湖岭社区,31,9,1,0,0,5,0,0,6,0,0,5,0.34,0.04,0.0,0.0,0.19,0.0,0.0,0.23,0.0,0.0,0.19,26,0.98
韩家坝社区,31,4,4,3,0,9,0,0,3,0,0,3,0.15,0.15,0.11,0.0,0.34,0.0,0.0,0.11,0.0,0.0,0.11,26,0.98
气象台社区,34,1,0,0,0,15,0,0,3,0,0,6,0.04,0.0,0.0,0.0,0.57,0.0,0.0,0.11,0.0,0.0,0.23,25,0.95
胜利二路社区,34,0,6,0,0,16,0,0,1,0,0,2,0.0,0.23,0.0,0.0,0.61,0.0,0.0,0.04,0.0,0.0,0.08,25,0.95
枫香树社区,34,0,0,0,0,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,25,0.95
肖家岗社区,38,0,0,14,0,5,0,0,3,1,0,1,0.0,0.0,0.53,0.0,0.19,0.0,0.0,0.11,0.04,0.0,0.04,24,0.91
旭光村,38,0,0,0,0,24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,24,0.91
汕头路社区,38,4,5,5,0,9,0,0,1,0,0,0,0.15,0.19,0.19,0.0,0.34,0.0,0.0,0.04,0.0,0.0,0.0,24,0.91
尚书巷社区,38,0,2,1,0,16,0,0,0,0,0,5,0.0,0.08,0.04,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.19,24,0.91
城东社区,38,4,0,4,0,8,0,0,1,0,0,7,0.15,0.0,0.15,0.0,0.3,0.0,0.0,0.04,0.0,0.0,0.26,24,0.91
建设社区,41,0,0,0,0,14,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.34,23,0.87
花艳社区,42,0,0,0,0,21,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.04,22,0.83
夷陵路社区,42,0,0,10,0,5,0,0,2,0,0,5,0.0,0.0,0.38,0.0,0.19,0.0,0.0,0.08,0.0,0.0,0.19,22,0.83
港务社区,44,0,0,2,0,4,7,0,1,0,0,7,0.0,0.0,0.08,0.0,0.15,0.26,0.0,0.04,0.0,0.0,0.26,21,0.79
长樵溪社区,46,0,0,1,0,16,0,0,3,0,0,0,0.0,0.0,0.04,0.0,0.61,0.0,0.0,0.11,0.0,0.0,0.0,20,0.76
甲街社区,46,0,0,0,0,19,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.72,0.04,0.0,0.0,0.0,0.0,0.0,20,0.76
胜利四路社区,46,1,0,5,0,5,0,0,4,0,0,5,0.04,0.0,0.19,0.0,0.19,0.0,0.0,0.15,0.0,0.0,0.19,20,0.76
苏家榜社区,48,4,4,0,0,6,2,0,2,0,0,1,0.15,0.15,0.0,0.0,0.23,0.08,0.0,0.08,0.0,0.0,0.04,19,0.72
南苑社区,48,0,0,0,0,13,0,0,3,0,0,3,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.11,0.0,0.0,0.11,19,0.72
解放路社区,51,0,0,0,0,15,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.04,0.0,0.0,0.04,17,0.64
峡州社区,51,0,0,0,0,11,0,0,5,0,0,1,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.19,0.0,0.0,0.04,17,0.64
小林园社区,51,0,0,3,0,8,0,0,0,0,0,6,0.0,0.0,0.11,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.23,17,0.64
石子岭社区,55,4,0,2,0,7,1,0,0,0,0,2,0.15,0.0,0.08,0.0,0.26,0.04,0.0,0.0,0.0,0.0,0.08,16,0.61
山庄路社区,55,0,1,0,0,5,3,0,5,1,0,1,0.0,0.04,0.0,0.0,0.19,0.11,0.0,0.19,0.04,0.0,0.04,16,0.61
合益村,55,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,16,0.61
