id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,xiling_wujia,dianping,2026-05-06T10:43:50+08:00,2026-05-06T10:43:50+08:00,西陵这边生活方便，喜欢,"西陵,这边,方便,喜欢,生活",11,urban_operation,facility,期待,5,positive,0.75,low,0.81,True,宜昌,relevant,体育休闲服务,11,3,口腔医院,,T3,宜昌牙管家口腔(隆康路总院),ermalu,general,111.28734019921254,30.695444841113,527529.1,3397244.49,宜昌牙管家口腔(隆康路总院),体育休闲服务
e0002,xiling_wujia,meituan,2026-05-02T02:34:45+08:00,2026-05-02T02:34:45+08:00,伍家堵车堵到怀疑人生，太差,"伍家,堵车,人生,怀疑",13,urban_operation,facility,失望,4,negative,0.64,medium,0.88,True,宜昌,relevant,体育休闲服务,7,0,口腔医院,,T3,宜昌牙管家口腔(隆康路总院),ermalu,general,111.28788732892548,30.695060566028413,527581.62,3397202.02,宜昌牙管家口腔(隆康路总院),体育休闲服务
e0003,xiling_wujia,dianping,2026-05-04T08:47:14+08:00,2026-05-04T08:47:14+08:00,二马路那边人挺多的,"二马路,那边",9,urban_renewal,service,好奇,2,neutral,0.41,high,0.98,True,宜昌,relevant,政府机构及社会团体,2,5,地市级政府及事业单位,,T3,宜昌市人民政府,ermalu,ermalu_oldstreet,111.2814538517109,30.69503509518755,526965.26,3397197.63,宜昌市人民政府,政府机构及社会团体
e0004,xiling_wujia,weibo,2026-05-06T10:22:52+08:00,2026-05-06T10:22:52+08:00,空气清新，适合晨练,"晨练,空气清新,适合,大南门",18,urban_operation,environment,满足,5,positive,0.83,low,0.98,True,宜昌,relevant,科教文化服务,7,1,中学,,T3,瑜儿腊货馆@埋点,ermalu,ermalu_oldstreet,111.28454414254111,30.694706945326217,527261.42,3397162.0,宜昌市五中,科教文化服务
e0005,xiling_wujia,xiaohongshu,2026-05-03T12:44:18+08:00,2026-05-03T12:44:18+08:00,红星路夜市烟火气十足，必须打卡,"红星路,打卡,夜市,烟火,十足,文旅",15,urban_operation,facility,喜爱,4,positive,0.66,high,0.92,True,宜昌,relevant,休闲娱乐,4,5,迪厅,,T3,夜上海舞厅,ermalu,ermalu_oldstreet,111.27967828450403,30.697142780853078,526794.56,3397430.88,夜上海舞厅,休闲娱乐
e0006,xiling_wujia,weibo,2026-05-05T00:21:02+08:00,2026-05-05T00:21:02+08:00,红星路夜市烟火气十足，必须打卡,"红星路,打卡,夜市,烟火,十足,大南门",10,urban_operation,event,期待,4,positive,0.99,low,0.86,True,宜昌,relevant,餐饮服务,6,3,特色/地方风味餐厅,,T3,花果牛魔王高品质烤牛肉@埋点,ermalu,ermalu_oldstreet,111.28067705704612,30.696824322132255,526890.34,3397395.81,花果牛魔王高品质烤牛肉,餐饮服务
e0007,xiling_wujia,dianping,2026-05-05T09:23:23+08:00,2026-05-05T09:23:23+08:00,剧院音响效果差，失望,"音响效果,剧院,失望",10,urban_operation,culture,失望,4,negative,0.66,high,0.98,True,宜昌,relevant,餐饮服务,13,1,中餐厅,,T3,瑜儿腊货馆,ermalu,ermalu_oldstreet,111.2833461491136,30.69547457501443,527146.43,3397246.81,瑜儿腊货馆,餐饮服务
e0008,xiling_wujia,meituan,2026-05-03T05:19:12+08:00,2026-05-03T05:19:12+08:00,社区医院服务态度很好，点赞,"点赞,服务态度,社区,医院",13,urban_governance,service,满足,4,positive,0.97,high,0.9,True,宜昌,relevant,住宿服务,0,1,宾馆酒店,,T3,宜昌丽锦快捷假日酒店,ermalu,ermalu_oldstreet,111.28149784930739,30.69769237249176,526968.73,3397492.24,宜昌丽锦快捷假日酒店,住宿服务
e0009,xiling_wujia,12345,2026-05-04T12:58:06+08:00,2026-05-04T12:58:06+08:00,二马路文创市集热闹又有创意，点赞,"文创,点赞,二马路,市集,创意",16,urban_operation,culture,满足,4,positive,0.78,low,0.83,True,宜昌,relevant,购物服务,14,4,步行街,,T3,宜昌解放路步行街,ermalu,ermalu_oldstreet,111.27976628021837,30.70155539943722,526801.77,3397920.1,宜昌解放路步行街,购物服务
e0010,xiling_wujia,dianping,2026-05-01T20:32:03+08:00,2026-05-01T20:32:03+08:00,红星路夜市烟火气十足，必须打卡,"红星路,打卡,夜市,烟火,十足",15,urban_operation,facility,期待,4,positive,0.77,high,0.91,True,宜昌,relevant,购物服务,2,0,特色商业街,,T3,二马路历史文化街区@埋点,ermalu,ermalu_oldstreet,111.28053538465984,30.695811111381676,526877.05,3397283.45,二马路历史文化街区,购物服务
e0011,xiling_wujia,dianping,2026-05-03T19:09:38+08:00,2026-05-03T19:09:38+08:00,东站网约车上车点规划清晰，赞,"网约,车点,东站,车上,清晰",14,urban_renewal,environment,期待,4,positive,0.62,high,0.86,True,宜昌,relevant,交通设施服务,9,2,公交车站相关,,T3,市政府(公交站),ermalu,transit_hub,111.2800199872993,30.693970641217398,526828.18,3397079.28,市政府(公交站),交通设施服务
e0012,xiling_wujia,dianping,2026-05-01T14:56:32+08:00,2026-05-01T14:56:32+08:00,二马路那边人挺多的,"二马路,那边",9,urban_governance,facility,好奇,3,neutral,0.31,medium,0.84,True,宜昌,relevant,住宿服务,6,5,宾馆酒店,,T3,枫林宛酒店(宜昌解放路美食街滨江店),ermalu,ermalu_oldstreet,111.27759198150022,30.699918722055088,526593.92,3397738.14,枫林宛酒店(宜昌解放路美食街滨江店),住宿服务
e0013,xiling_wujia,dianping,2026-05-06T00:56:42+08:00,2026-05-06T00:56:42+08:00,这片城区配套越来越完善了,"这片,城区,配套,完善,越来越,五一",12,urban_operation,event,期待,4,positive,0.93,high,0.96,True,宜昌,relevant,体育休闲服务,1,4,药房,,T3,圆心大药房(宜昌第一人民医院店),ermalu,general,111.28547658754522,30.696958483183455,527350.12,3397411.84,圆心大药房(宜昌第一人民医院店),体育休闲服务
e0014,xiling_wujia,12345,2026-05-03T09:37:49+08:00,2026-05-03T09:37:49+08:00,二马路文创市集热闹又有创意，点赞,"文创,点赞,二马路,市集,创意",14,urban_renewal,facility,期待,5,positive,0.76,high,0.82,True,宜昌,relevant,购物服务,1,0,特色商业街,,T3,二马路历史文化街区@埋点,ermalu,ermalu_oldstreet,111.28033953988607,30.69581330558812,526858.28,3397283.64,二马路历史文化街区,购物服务
e0015,xiling_wujia,meituan,2026-05-04T20:51:04+08:00,2026-05-04T20:51:04+08:00,二马路那边人挺多的,"二马路,那边,打卡",9,urban_renewal,facility,中性,2,neutral,0.34,low,0.91,True,宜昌,relevant,科教文化服务,4,1,中学,,T3,宜昌市五中,ermalu,ermalu_oldstreet,111.28421113075778,30.694569323578254,527229.56,3397146.66,宜昌市五中,科教文化服务
