id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,narrative_zone,topic,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e00002,yichang,meituan,2025-02-04T18:45:28+08:00,2025-02-04T18:45:28+08:00,长江沿线景观带做得漂亮，喜欢,"景观带,沿线,漂亮,长江,喜欢",14,urban_operation,environment,满足,1.0,positive,1.0,medium,0.556,True,宜昌,relevant,城市生活,1,0,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.3826,30.6798,536658.1,3.3955372e+06,,core,1.0,Very Positive,0.14,喜悦满意,喜悦满意,,
e00003,yichang,12345,2025-02-03T16:54:00+08:00,2025-02-03T16:54:00+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_operation,service,失望,1.0,negative,1.0,high,0.525,True,宜昌,relevant,城市生活,3,2,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.3825,30.6806,536653.56,3.395626e+06,,core,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e00004,yichang,12345,2025-02-06T03:34:44+08:00,2025-02-06T03:34:44+08:00,夷陵广场周边停车太难，绕三圈找不到位,"三圈,夷陵,太难,停车,到位",18,urban_governance,service,愤怒,0.86,negative,0.86,medium,0.568,True,宜昌,relevant,购物服务,6,2,综合市场,,T1,东门综合市场(东门外正街),core,general,commercial,,111.2779,30.7071,526625.5,3.3985312e+06,东门综合市场(东门外正街),购物服务,0.17,Very Negative,0.18,不满抱怨,不满抱怨,,
e00005,yichang,dianping,2025-02-09T16:03:12+08:00,2025-02-09T16:03:12+08:00,伍家发展快，变化大,"伍家,变化,发展",9,urban_governance,service,期待,1.0,positive,1.0,high,0.591,True,宜昌,relevant,城市生活,22,10,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.2776,30.7072,526597.4,3.3985462e+06,,core,0.97,Very Positive,0.09,喜悦满意,喜悦满意,,
e00006,yichang,meituan,2025-02-05T01:49:42+08:00,2025-02-05T01:49:42+08:00,感觉一般,"感觉,一般",4,urban_renewal,service,中性,0.27,neutral,0.27,high,0.602,True,宜昌,relevant,商务住宅,7,0,商住两用楼宇,,T1,亚洲广场,core,general,residential,社区服务配套,111.2775,30.7069,526584.8,3.3985102e+06,亚洲广场,商务住宅,0.55,Neutral,0.04,其他,其他,,
e00007,yichang,meituan,2025-02-01T04:46:14+08:00,2025-02-01T04:46:14+08:00,文创产品同质化严重，没意思,"文创,同质化,没意思,严重,产品",13,urban_operation,culture,失望,0.91,negative,0.91,high,0.573,True,宜昌,relevant,科教文化服务,6,4,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.2767,30.7072,526504.06,3.398543e+06,宜昌市西陵区图书馆,科教文化服务,0.22,Negative,0.13,不满抱怨,不满抱怨,,
e00008,yichang,xiaohongshu,2025-02-06T10:12:25+08:00,2025-02-06T10:12:25+08:00,一般水平,"水平,一般",4,urban_operation,culture,好奇,0.298,neutral,0.298,high,0.536,True,宜昌,relevant,科教文化服务,20,1,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.2763,30.7075,526468.9,3.3985808e+06,宜昌市西陵区图书馆,科教文化服务,0.43,Neutral,0.04,其他,其他,,
e00009,yichang,dianping,2025-02-07T11:41:25+08:00,2025-02-07T11:41:25+08:00,这段路烂得不像话，半年没人修,"没人修,不像话,这段,半年",14,urban_operation,culture,愤怒,1.0,negative,1.0,high,0.558,True,宜昌,relevant,科教文化服务,4,2,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.2769,30.7077,526529.3,3.3985962e+06,宜昌市西陵区图书馆,科教文化服务,0.02,Very Negative,0.14,不满抱怨,不满抱怨,,
e00010,yichang,xiaohongshu,2025-02-08T20:24:21+08:00,2025-02-08T20:24:21+08:00,城区施工吵死了，半夜还轰,"吵死,半夜,城区,施工",12,urban_operation,culture,愤怒,0.98,negative,0.98,medium,0.551,True,宜昌,relevant,科教文化服务,4,1,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.2769,30.7077,526529.94,3.3985975e+06,宜昌市西陵区图书馆,科教文化服务,0.11,Very Negative,0.12,失望厌恶,失望厌恶,,
e00022,yichang,12345,2025-02-09T05:22:04+08:00,2025-02-09T05:22:04+08:00,西陵停车难到崩溃，绕一小时,"停车难,西陵,崩溃,小时",13,urban_operation,service,失望,1.0,negative,1.0,high,0.453,True,宜昌,relevant,城市生活,13,12,,,T1,2025-02 春节·二马路一期开街爆满,central_outer,general,general,,111.491,30.7509,547012.2,3.4034652e+06,,central_outer,0.1,Very Negative,0.13,不满抱怨,不满抱怨,,
e00023,yichang,weibo,2025-02-07T01:46:33+08:00,2025-02-07T01:46:33+08:00,停车场收费贵还找不到位，真坑,"真坑,停车场,收费,到位",14,urban_operation,facility,愤怒,1.0,negative,1.0,medium,0.474,True,宜昌,relevant,城市生活,9,2,,,T1,2025-02 春节·二马路一期开街爆满,central_outer,general,general,,111.4916,30.7503,547073.6,3.4033958e+06,,central_outer,0.02,Very Negative,0.14,不满抱怨,不满抱怨,,
e00033,yichang,meituan,2025-02-09T11:18:40+08:00,2025-02-09T11:18:40+08:00,城区道路修好后通畅多了,"修好,通畅,城区,道路",11,urban_operation,service,期待,1.0,positive,1.0,medium,0.475,True,猇亭区,relevant,生活服务,14,7,生活服务,,T1,理发店·猇亭区1373,central_outer,general,general,,111.4273,30.5462,540996.5,3.3807422e+06,理发店·猇亭区1373,生活服务,0.98,Very Positive,0.11,喜悦满意,喜悦满意,,
e00035,yichang,meituan,2025-02-01T01:44:55+08:00,2025-02-01T01:44:55+08:00,文物修缮太敷衍，丢了原味，可惜,"原味,修缮,敷衍,文物,可惜",15,urban_renewal,culture,失望,1.0,negative,1.0,high,0.555,True,宜昌,relevant,城市生活,6,0,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.3321,30.6556,531827.8,3.3928388e+06,,core,0.08,Very Negative,0.15,不满抱怨,不满抱怨,,
e00043,yichang,dianping,2025-02-09T10:21:49+08:00,2025-02-09T10:21:49+08:00,没什么亮点,"亮点,没什么",5,urban_operation,service,好奇,0.284,neutral,0.284,high,0.588,True,宜昌,relevant,商务住宅,10,0,住宅小区,,T1,江山多娇三期,core,general,residential,社区服务配套,111.3455,30.6449,533120.4,3.3916615e+06,江山多娇三期,商务住宅,0.44,Neutral,0.05,其他,其他,,
e00044,yichang,meituan,2025-02-07T10:41:23+08:00,2025-02-07T10:41:23+08:00,社区物业响应及时，点赞,"点赞,社区,响应,物业,及时",11,urban_renewal,service,期待,0.73,positive,0.73,low,0.552,True,宜昌,relevant,商务住宅,10,1,住宅小区,,T1,江山多娇三期,core,general,residential,,111.345,30.6445,533069.7,3.3916152e+06,江山多娇三期,商务住宅,0.69,Positive,0.11,喜悦满意,喜悦满意,,
e00045,yichang,meituan,2025-02-07T20:17:03+08:00,2025-02-07T20:17:03+08:00,老字号保护得好，有传承,"老字号,传承,保护",11,urban_planning,culture,满足,1.0,positive,1.0,low,0.58,True,宜昌,relevant,商务住宅,7,3,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3446,30.6446,533035.75,3.3916238e+06,江山多娇三期,商务住宅,0.99,Very Positive,0.11,怀旧认同,怀旧认同,,
e00046,yichang,meituan,2025-02-01T22:51:26+08:00,2025-02-01T22:51:26+08:00,小区噪音大，影响休息,"噪音,小区,休息,影响",10,urban_renewal,service,失望,0.95,negative,0.95,low,0.586,True,宜昌,relevant,商务住宅,2,0,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3452,30.645,533092.5,3.3916675e+06,江山多娇三期,商务住宅,0.2,Very Negative,0.1,失望厌恶,失望厌恶,,
e00047,yichang,xiaohongshu,2025-02-08T13:57:53+08:00,2025-02-08T13:57:53+08:00,快递丢件了客服推诿扯皮,"丢件,扯皮,快递,推诿,客服",11,urban_renewal,service,失望,1.0,negative,1.0,high,0.584,True,宜昌,relevant,商务住宅,2,2,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3453,30.6441,533098.2,3.3915652e+06,江山多娇三期,商务住宅,0.01,Very Negative,0.11,不满抱怨,不满抱怨,,
e00048,yichang,dianping,2025-02-05T06:07:56+08:00,2025-02-05T06:07:56+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_renewal,service,失望,1.0,negative,1.0,low,0.567,True,宜昌,relevant,商务住宅,1,0,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3447,30.6441,533041.44,3.3915638e+06,江山多娇三期,商务住宅,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e00049,yichang,meituan,2025-02-08T18:35:17+08:00,2025-02-08T18:35:17+08:00,小区绿化维护得好，住着舒心,"舒心,绿化,小区,维护",13,urban_renewal,service,满足,0.88,positive,0.88,low,0.543,True,宜昌,relevant,商务住宅,6,5,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3449,30.6446,533058.94,3.3916192e+06,江山多娇三期,商务住宅,0.84,Very Positive,0.13,喜悦满意,喜悦满意,,
e00050,yichang,dianping,2025-02-06T14:59:14+08:00,2025-02-06T14:59:14+08:00,充电桩坏了好几个一直没人修,"没人修,充电,好几个,一直",13,urban_planning,facility,愤怒,1.0,negative,1.0,low,0.559,True,宜昌,relevant,商务住宅,1,9,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3444,30.6448,533016.0,3.391641e+06,江山多娇三期,商务住宅,0.04,Very Negative,0.13,不满抱怨,不满抱怨,,
e00051,yichang,dianping,2025-02-02T21:58:20+08:00,2025-02-02T21:58:20+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_renewal,service,愤怒,1.0,negative,1.0,low,0.588,True,宜昌,relevant,商务住宅,4,0,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3456,30.6442,533131.2,3.3915842e+06,江山多娇三期,商务住宅,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e00052,yichang,xiaohongshu,2025-02-02T10:07:09+08:00,2025-02-02T10:07:09+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_renewal,service,愤怒,1.0,negative,1.0,high,0.592,True,宜昌,relevant,商务住宅,3,6,住宅小区,,T1,江天一色,core,general,residential,,111.346,30.6442,533166.75,3.3915775e+06,江天一色,商务住宅,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e00053,yichang,12345,2025-02-05T04:48:39+08:00,2025-02-05T04:48:39+08:00,社区物业响应及时，点赞,"点赞,社区,响应,物业,及时",11,urban_renewal,service,满足,0.73,positive,0.73,high,0.583,True,宜昌,relevant,商务住宅,10,10,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3448,30.6445,533048.1,3.3916155e+06,江山多娇三期,商务住宅,0.69,Positive,0.11,喜悦满意,喜悦满意,,
e00054,yichang,weibo,2025-02-03T05:49:52+08:00,2025-02-03T05:49:52+08:00,小区电梯老坏，安全隐患,"老坏,安全隐患,电梯,小区",11,urban_renewal,service,失望,1.0,negative,1.0,high,0.591,True,宜昌,relevant,商务住宅,6,0,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3456,30.6444,533132.4,3.391602e+06,江山多娇三期,商务住宅,0.16,Very Negative,0.11,焦虑担忧,焦虑担忧,,
e00055,yichang,dianping,2025-02-04T05:47:50+08:00,2025-02-04T05:47:50+08:00,小区电梯老坏，安全隐患,"老坏,安全隐患,电梯,小区",11,urban_renewal,service,失望,1.0,negative,1.0,low,0.54,True,宜昌,relevant,商务住宅,27,5,住宅小区,,T1,江山多娇三期,core,general,residential,,111.3456,30.6443,533124.25,3.3915845e+06,江山多娇三期,商务住宅,0.16,Very Negative,0.11,焦虑担忧,焦虑担忧,,
e00058,yichang,meituan,2025-02-08T07:24:44+08:00,2025-02-08T07:24:44+08:00,便利店 24 小时营业，方便,"24,便利店,营业,方便,小时",14,urban_governance,service,喜爱,0.82,positive,0.82,high,0.481,True,宜昌,relevant,城市生活,14,2,,,T1,2025-02 春节·二马路一期开街爆满,central_outer,general,general,,111.2399,30.7275,522979.97,3.4007832e+06,,central_outer,0.81,Very Positive,0.14,喜悦满意,喜悦满意,,
e00063,yichang,weibo,2025-02-02T15:29:19+08:00,2025-02-02T15:29:19+08:00,普普通通,普普通通,4,urban_governance,culture,中性,0.2,neutral,0.2,low,0.558,True,宜昌,relevant,城市生活,29,2,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.3326,30.7317,531849.3,3.4012785e+06,,core,0.5,Neutral,0.04,其他,其他,,
e00064,yichang,meituan,2025-02-08T11:44:09+08:00,2025-02-08T11:44:09+08:00,儿童公园带孩子好玩，设施新,"儿童公园,好玩,设施,孩子",13,urban_operation,service,满足,1.0,positive,1.0,low,0.547,True,宜昌,relevant,城市生活,5,6,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.333,30.7322,531890.06,3.401328e+06,,core,1.0,Very Positive,0.13,喜悦满意,喜悦满意,,
e00065,yichang,dianping,2025-02-05T14:12:49+08:00,2025-02-05T14:12:49+08:00,停车场收费贵还找不到位，真坑,"真坑,停车场,收费,到位",14,urban_operation,facility,愤怒,1.0,negative,1.0,low,0.552,True,宜昌,relevant,城市生活,10,1,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.3336,30.7316,531946.25,3.4012608e+06,,core,0.02,Very Negative,0.14,不满抱怨,不满抱怨,,
e00066,yichang,meituan,2025-02-08T15:19:54+08:00,2025-02-08T15:19:54+08:00,一般般,一般般,3,urban_operation,facility,中性,0.2,neutral,0.2,medium,0.582,True,宜昌,relevant,城市生活,4,3,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.3333,30.7319,531920.4,3.401302e+06,,core,0.5,Neutral,0.03,其他,其他,,
e00067,yichang,dianping,2025-02-03T13:13:23+08:00,2025-02-03T13:13:23+08:00,滨江步道路灯坏了好几个,"道路灯,滨江,好几个",11,urban_operation,culture,失望,0.58,negative,0.58,medium,0.568,True,宜昌,relevant,城市生活,2,1,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.3328,30.732,531872.56,3.4013108e+06,,core,0.31,Negative,0.11,不满抱怨,不满抱怨,,
e00068,yichang,xiaohongshu,2025-02-07T12:54:18+08:00,2025-02-07T12:54:18+08:00,滨江公园散步看江景很惬意,"江景,滨江,惬意,散步,公园",12,urban_renewal,culture,期待,1.0,positive,1.0,high,0.563,True,宜昌,relevant,城市生活,7,2,,,T1,2025-02 春节·二马路一期开街爆满,core,general,riverside,,111.333,30.732,531890.75,3.401306e+06,,core,1.0,Very Positive,0.12,喜悦满意,喜悦满意,,
e00069,yichang,meituan,2025-02-09T17:38:20+08:00,2025-02-09T17:38:20+08:00,运河公园整治后水清了，舒服,"后水清,整治,舒服,运河,公园",13,urban_operation,service,喜爱,0.72,positive,0.72,medium,0.6,True,宜昌,relevant,购物服务,7,4,家具城,,T1,林氏家居(宜昌易家居店),core,general,riverside,,111.3319,30.7316,531783.6,3.4012645e+06,林氏家居(宜昌易家居店),购物服务,0.76,Positive,0.13,喜悦满意,喜悦满意,,
e00070,yichang,dianping,2025-02-05T00:57:50+08:00,2025-02-05T00:57:50+08:00,十字路口拥堵，早晚高峰尤其严重,"拥堵,十字路口,早晚,高峰,严重",15,urban_governance,facility,愤怒,0.75,negative,0.75,medium,0.469,True,小溪塔,relevant,交通设施服务,7,1,交通设施服务,,T1,客运站·小溪塔333,central_outer,transit_hub,traffic,红绿灯,111.3723,30.7771,535640.75,3.4063162e+06,客运站·小溪塔333,交通设施服务,0.3,Negative,0.15,焦虑担忧,焦虑担忧,,
e00071,yichang,12345,2025-02-07T05:46:30+08:00,2025-02-07T05:46:30+08:00,就这样吧,这样,4,urban_operation,facility,中性,0.242,neutral,0.242,low,0.461,True,小溪塔,relevant,政府机构及社会团体,0,1,政府机构及社会团体,,T1,政务中心·小溪塔703,central_outer,general,general,,111.3725,30.7763,535658.25,3.406228e+06,政务中心·小溪塔703,政府机构及社会团体,0.53,Neutral,0.04,其他,其他,,
e00072,yichang,meituan,2025-02-01T14:16:15+08:00,2025-02-01T14:16:15+08:00,伍家堵车堵到怀疑人生，太差,"伍家,堵车,人生,怀疑",13,urban_operation,service,失望,1.0,negative,1.0,low,0.452,True,猇亭区,relevant,生活服务,9,0,生活服务,,T1,家政·猇亭区1845,central_outer,general,general,,111.4509,30.6192,543228.3,3.3888462e+06,家政·猇亭区1845,生活服务,0.1,Very Negative,0.13,焦虑担忧,焦虑担忧,,
e00083,yichang,meituan,2025-02-07T07:48:24+08:00,2025-02-07T07:48:24+08:00,商圈餐饮排队两小时，体验差,"商圈,餐饮,排队,体验,小时",13,urban_operation,service,愤怒,0.68,negative,0.68,low,0.563,True,宜昌,relevant,住宿服务,26,2,宾馆酒店,,T1,宜昌廊桥宾馆,core,general,commercial,底商空置冷清,111.2935,30.6903,528121.6,3.3966725e+06,宜昌廊桥宾馆,住宿服务,0.26,Negative,0.13,不满抱怨,不满抱怨,,
e00084,yichang,meituan,2025-02-07T08:53:57+08:00,2025-02-07T08:53:57+08:00,街区活动吸引很多人，有活力,"街区,活力,吸引,很多,活动",13,urban_operation,event,期待,1.0,positive,1.0,high,0.59,True,宜昌,relevant,城市生活,0,1,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.2923,30.6903,528002.7,3.3966745e+06,,core,0.97,Very Positive,0.13,喜悦满意,喜悦满意,,
e00085,yichang,meituan,2025-02-07T20:09:50+08:00,2025-02-07T20:09:50+08:00,节日人多拥挤差点出事,"人多,出事,拥挤,差点,节日",10,urban_operation,event,失望,0.8,negative,0.8,low,0.605,True,宜昌,relevant,体育休闲服务,6,7,医疗保健用品,,T1,健耳听力助听器(宜昌夷陵大道店),core,general,venue,,111.2933,30.691,528101.9,3.396754e+06,健耳听力助听器(宜昌夷陵大道店),体育休闲服务,0.2,Very Negative,0.1,不满抱怨,不满抱怨,,
e00086,yichang,weibo,2025-02-08T18:49:42+08:00,2025-02-08T18:49:42+08:00,感觉一般,"感觉,一般",4,urban_operation,service,好奇,0.27,neutral,0.27,high,0.603,True,宜昌,relevant,住宿服务,1,4,宾馆酒店,,T1,宜昌廊桥宾馆,core,general,commercial,,111.2929,30.6904,528065.1,3.3966855e+06,宜昌廊桥宾馆,住宿服务,0.55,Neutral,0.04,其他,其他,,
e00087,yichang,dianping,2025-02-01T03:11:40+08:00,2025-02-01T03:11:40+08:00,夷陵广场周边停车太难，绕三圈找不到位,"三圈,夷陵,太难,停车,到位",18,urban_operation,service,愤怒,0.86,negative,0.86,high,0.595,True,宜昌,relevant,住宿服务,17,1,宾馆酒店,,T1,宜昌廊桥宾馆,core,general,commercial,,111.2931,30.69,528084.2,3.3966368e+06,宜昌廊桥宾馆,住宿服务,0.17,Very Negative,0.18,不满抱怨,不满抱怨,,
e00088,yichang,dianping,2025-02-02T21:35:08+08:00,2025-02-02T21:35:08+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_operation,service,愤怒,1.0,negative,1.0,low,0.585,True,宜昌,relevant,住宿服务,0,3,宾馆酒店,,T1,宜昌廊桥宾馆,core,general,commercial,,111.2934,30.6896,528116.4,3.3965952e+06,宜昌廊桥宾馆,住宿服务,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e00089,yichang,dianping,2025-02-04T02:44:16+08:00,2025-02-04T02:44:16+08:00,普通,普通,2,urban_operation,service,好奇,0.242,neutral,0.242,medium,0.613,True,宜昌,relevant,住宿服务,0,2,宾馆酒店,,T1,宜昌廊桥宾馆,core,general,commercial,,111.2928,30.6898,528052.3,3.3966245e+06,宜昌廊桥宾馆,住宿服务,0.53,Neutral,0.02,其他,其他,,
e00090,yichang,dianping,2025-02-02T10:53:22+08:00,2025-02-02T10:53:22+08:00,夜经济让城市更有活力了,"活力,城市,经济",11,urban_operation,event,满足,1.0,positive,1.0,low,0.566,True,宜昌,relevant,体育休闲服务,4,2,医疗保健用品,,T1,健耳听力助听器(宜昌夷陵大道店),core,general,venue,,111.293,30.691,528075.3,3.396756e+06,健耳听力助听器(宜昌夷陵大道店),体育休闲服务,0.94,Very Positive,0.11,喜悦满意,喜悦满意,,
e00091,yichang,xiaohongshu,2025-02-09T22:34:26+08:00,2025-02-09T22:34:26+08:00,普通水平,"普通,水平",4,urban_operation,event,中性,0.298,neutral,0.298,medium,0.568,True,宜昌,relevant,体育休闲服务,13,3,医疗保健用品,,T1,健耳听力助听器(宜昌夷陵大道店),core,general,venue,,111.2934,30.6906,528114.0,3.3967052e+06,健耳听力助听器(宜昌夷陵大道店),体育休闲服务,0.43,Neutral,0.04,其他,其他,,
