id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,narrative_zone,topic,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e00001,yichang,dianping,2026-05-03T22:57:57+08:00,2026-05-03T22:57:57+08:00,,,0,,,,0.167,,0.0,,0.439,True,宜昌,,,0,0,,,T3,,outside_cc,general,,,111.53878411348192,30.23319034657712,551863.68,3346086.36,,background
e00002,yichang,xiaohongshu,2026-05-05T02:31:24+08:00,2026-05-05T02:31:24+08:00,学校新换了课桌椅，孩子们开心,"课桌椅,新换,开心,学校,孩子,打卡",14,urban_operation,service,期待,0.117,positive,0.74,medium,0.577,True,宜昌,relevant,城市生活,12,4,,,T3,2026-05 五一·大南门建成文旅爆满,core,general,general,,111.38210731177095,30.680757416626832,536614.01,3395643.24,,core
e00003,yichang,weibo,2026-05-05T18:21:59+08:00,2026-05-05T18:21:59+08:00,普通,普通,2,urban_operation,culture,中性,0.525,neutral,0.44,high,0.592,True,宜昌,relevant,科教文化服务,1,3,图书馆,,T3,宜昌市西陵区图书馆,core,riverside,general,,111.27695283034696,30.707406386965292,526530.64,3398568.1,宜昌市西陵区图书馆,科教文化服务
e00004,yichang,xiaohongshu,2026-05-04T23:00:34+08:00,2026-05-04T23:00:34+08:00,节日人多拥挤差点出事,"人多,出事,拥挤,差点,节日",10,urban_operation,event,愤怒,1.0,negative,0.73,low,0.609,True,宜昌,relevant,体育休闲服务,3,3,医疗保健用品,,T3,自然之声助听器(宜昌西陵店),core,general,venue,,111.27712371899335,30.706943496812574,526547.14,3398516.83,自然之声助听器(宜昌西陵店),体育休闲服务
e00005,yichang,xiaohongshu,2026-05-01T06:21:19+08:00,2026-05-01T06:21:19+08:00,城区施工吵死了，半夜还轰,"吵死,半夜,城区,施工",12,urban_operation,event,失望,1.0,negative,0.66,low,0.559,True,宜昌,relevant,科教文化服务,4,15,图书馆,,T3,宜昌市西陵区图书馆,core,riverside,general,施工扰民,111.27699250851003,30.708027419407777,526534.27,3398636.96,宜昌市西陵区图书馆,科教文化服务
e00006,yichang,xiaohongshu,2026-05-05T15:31:59+08:00,2026-05-05T15:31:59+08:00,灯光秀很震撼，点赞,"点赞,震撼,灯光",9,urban_operation,event,期待,1.0,positive,0.8,high,0.59,True,宜昌,relevant,体育休闲服务,0,0,医疗保健用品,,T3,自然之声助听器(宜昌西陵店),core,general,venue,夜经济,111.27742445969842,30.706511255630744,526576.07,3398468.98,自然之声助听器(宜昌西陵店),体育休闲服务
e00007,yichang,xiaohongshu,2026-05-06T06:04:13+08:00,2026-05-06T06:04:13+08:00,下水道臭气熏天没人管，失望,"臭气熏天,没人管,下水道,失望,文旅",13,urban_governance,service,失望,1.0,negative,0.83,medium,0.562,True,宜昌,relevant,城市生活,2,3,,,T3,2026-05 五一·大南门建成文旅爆满,core,general,general,,111.27756403830652,30.70730739587727,526589.22,3398557.27,,core
e00008,yichang,xiaohongshu,2026-05-02T21:05:23+08:00,2026-05-02T21:05:23+08:00,没什么特别,"没什么,特别,打卡",5,urban_operation,culture,中性,0.525,neutral,0.32,low,0.558,True,宜昌,relevant,科教文化服务,10,2,图书馆,,T3,宜昌市西陵区图书馆,core,riverside,general,,111.2768920374524,30.707880371702835,526524.69,3398620.64,宜昌市西陵区图书馆,科教文化服务
e00009,yichang,meituan,2026-05-06T13:05:33+08:00,2026-05-06T13:05:33+08:00,社区物业响应及时，点赞,"点赞,社区,响应,物业,及时",11,urban_operation,environment,期待,1.0,positive,0.67,high,0.564,True,宜昌,relevant,商务住宅,0,0,商住两用楼宇,,T3,亚洲广场,core,general,residential,,111.2777309159056,30.706729266653774,526605.36,3398493.22,亚洲广场,商务住宅
e00010,yichang,xiaohongshu,2026-05-01T13:23:19+08:00,2026-05-01T13:23:19+08:00,小区绿化维护得好，住着舒心,"舒心,绿化,小区,维护",13,urban_renewal,environment,满足,1.0,positive,0.96,low,0.576,True,宜昌,relevant,科教文化服务,14,2,图书馆,,T3,宜昌市西陵区图书馆,core,riverside,general,,111.27701354846108,30.707817260550012,526536.34,3398613.67,宜昌市西陵区图书馆,科教文化服务
