排序,社区,安全-市政管网,安全-安全消防,安全-住房,安全-交通,民生-公服设施,民生-住房,民生-环境治理,民生-停车设施,民生-交通设施,民生-城市更新,民生-物业街面,安全-市政管网%,安全-安全消防%,安全-住房%,安全-交通%,民生-公服设施%,民生-住房%,民生-环境治理%,民生-停车设施%,民生-交通设施%,民生-城市更新%,民生-物业街面%,总点数,总占比%
51,解放路社区,0,0,0,0,15,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.04,0.0,0.0,0.04,17,0.64
51,小林园社区,0,0,3,0,8,0,0,0,0,0,6,0.0,0.0,0.11,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.23,17,0.64
55,张家坡社区,0,0,1,0,14,0,0,0,0,0,1,0.0,0.0,0.04,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.04,16,0.61
55,上导堤社区,0,0,0,0,10,1,0,2,1,0,2,0.0,0.0,0.0,0.0,0.38,0.04,0.0,0.08,0.04,0.0,0.08,16,0.61
55,山庄路社区,0,1,0,0,5,3,0,5,1,0,1,0.0,0.04,0.0,0.0,0.19,0.11,0.0,0.19,0.04,0.0,0.04,16,0.61
55,石子岭社区,4,0,2,0,7,1,0,0,0,0,2,0.15,0.0,0.08,0.0,0.26,0.04,0.0,0.0,0.0,0.0,0.08,16,0.61
55,白沙路社区,0,0,0,0,11,0,0,1,0,0,4,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.04,0.0,0.0,0.15,16,0.61
55,合益村,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,16,0.61
60,汉宜村,0,0,0,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,15,0.57
60,黄河路社区,0,0,3,0,7,0,0,1,0,0,4,0.0,0.0,0.11,0.0,0.26,0.0,0.0,0.04,0.0,0.0,0.15,15,0.57
60,金斗山社区,0,0,0,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,15,0.57
60,土街头社区,0,1,8,0,4,0,0,2,0,0,0,0.0,0.04,0.3,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.0,15,0.57
66,中书街社区,1,0,4,0,8,0,0,0,0,0,1,0.04,0.0,0.15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04,14,0.53
66,张家店社区,0,0,0,0,2,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.45,14,0.53
66,青岛路社区,0,0,1,0,10,0,0,3,0,0,0,0.0,0.0,0.04,0.0,0.38,0.0,0.0,0.11,0.0,0.0,0.0,14,0.53
66,共和村,0,0,0,0,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,14,0.53
66,珠海路社区,0,1,1,0,10,0,0,2,0,0,0,0.0,0.04,0.04,0.0,0.38,0.0,0.0,0.08,0.0,0.0,0.0,14,0.53
66,船柴社区,0,3,0,0,10,0,0,1,0,0,0,0.0,0.11,0.0,0.0,0.38,0.0,0.0,0.04,0.0,0.0,0.0,14,0.53
66,白龙井社区,0,0,0,0,11,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.11,14,0.53
71,万达社区,0,0,0,0,8,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.19,13,0.49
71,朝阳路社区,2,1,4,0,3,0,0,3,0,0,0,0.08,0.04,0.15,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.0,13,0.49
71,白家冲社区,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,13,0.49
71,学堂湾社区,1,0,2,0,4,0,0,2,0,0,4,0.04,0.0,0.08,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.15,13,0.49
75,夜明珠社区,0,0,4,0,6,0,0,0,0,0,2,0.0,0.0,0.15,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.08,12,0.45
75,北山坡社区,1,2,2,0,2,0,0,4,0,0,1,0.04,0.08,0.08,0.0,0.08,0.0,0.0,0.15,0.0,0.0,0.04,12,0.45
75,王家坝社区,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,12,0.45
75,茶庵社区,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,12,0.45
82,伍临路社区,0,0,0,0,4,0,0,3,0,0,4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.11,0.0,0.0,0.15,11,0.42
82,四方堰社区,0,0,2,0,2,0,0,2,1,0,4,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.08,0.04,0.0,0.15,11,0.42
82,翁家堰社区,0,0,1,0,2,0,0,0,0,0,8,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.3,11,0.42
82,英雄山社区,0,0,2,0,7,2,0,0,0,0,0,0.0,0.0,0.08,0.0,0.26,0.08,0.0,0.0,0.0,0.0,0.0,11,0.42
82,墨池巷社区,2,2,0,0,6,0,0,0,0,0,1,0.08,0.08,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.04,11,0.42
82,望洲社区,0,0,0,0,8,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.08,0.04,0.0,0.0,11,0.42
82,中南路社区,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,11,0.42
82,古塔社区,0,0,0,0,9,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.08,0.0,0.0,0.0,11,0.42
82,长江社区,2,0,1,0,5,0,0,1,0,0,2,0.08,0.0,0.04,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.08,11,0.42
88,张家湾社区,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,10,0.38
88,东站路社区,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,10,0.38
88,魏家湾社区,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,10,0.38
92,白马山社区,0,0,4,0,4,0,0,1,0,0,0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.04,0.0,0.0,0.0,9,0.34
92,东山花园社区,0,0,0,0,7,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.04,0.0,0.0,0.04,9,0.34
92,大学路社区,1,0,0,0,2,0,0,6,0,0,0,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.23,0.0,0.0,0.0,9,0.34
92,光明路社区,1,1,4,0,2,0,0,1,0,0,0,0.04,0.04,0.15,0.0,0.08,0.0,0.0,0.04,0.0,0.0,0.0,9,0.34
92,大堰湾社区,0,0,0,0,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04,9,0.34
95,金家台社区,0,1,1,0,4,0,0,0,0,0,2,0.0,0.04,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.08,8,0.3
95,火光村,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8,0.3
100,临江溪社区,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,八一路社区,0,0,1,0,6,0,0,0,0,0,0,0.0,0.0,0.04,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,共强村,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,共谊村,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,胡家冲社区,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,叶家坝社区,0,0,4,0,3,0,0,0,0,0,0,0.0,0.0,0.15,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,大树湾社区,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
100,环城北路社区,0,0,1,0,3,0,0,0,0,0,3,0.0,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,7,0.26
111,平湖馨苑社区,0,0,0,0,5,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.0,6,0.23
111,徐家坝社区,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.04,6,0.23
111,艾家嘴社区,0,0,2,0,2,0,0,0,0,0,2,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,6,0.23
111,唐家湾社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,土城路社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,东山社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,李家湖社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,江山社区,0,0,0,0,4,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.0,6,0.23
111,东艳路社区,0,0,4,0,2,0,0,0,0,0,0,0.0,0.0,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,沈家店社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,岳湾路社区,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.04,6,0.23
111,岳家冲社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
111,锦绣社区,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
119,石板溪社区,0,0,0,0,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.11,5,0.19
119,常刘路社区,0,0,0,0,3,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.04,5,0.19
119,竹涛山社区,0,0,0,0,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.04,5,0.19
123,东星社区,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
123,共升村,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
123,联丰村,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
123,山河园路社区,0,0,1,0,1,0,0,1,0,0,1,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04,4,0.15
123,后坪社区,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
127,共勤村,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,3,0.11
127,柏临河路社区,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,3,0.11
127,共前村,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,3,0.11
131,廖家湾社区,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
131,白沙脑社区,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
131,东方社区,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
131,鑫鼎社区,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
131,三峡物流园社区,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
135,龙盘湖社区,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1,0.04
135,金巴岭社区,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04
135,土门村,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04
135,福久源社区,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04
165,松林路社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,花溪路社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,车站村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,前坪村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,共联村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,东锦苑社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,梅花村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,灵宝村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,临江坪社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,南湾村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,共同村,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,石板社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,黑虎山社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,蔡家畈社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,朝阳社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,丁家坝社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,东城社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,冯家湾社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,港虹社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,古老背社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,红光社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,虎牙社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,黄金卡社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,黄龙寺社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,鸡山社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,锦湖社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,锦江社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,锦云社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,六泉湖社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,绿洲社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,梅子溪社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,磨盘社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,南津关社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,平湖社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,平云社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,七里新村社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,润城社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
165,石板冲社区,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
